галька (щебень)	гравий (дресва)	гравий (дресва)	песок	песок	песок	песок	песок	пыль	пыль	глина
>10	10,0-5,0	5,0-2,0	2,0-1,0	1-0,5	0,5-0,25	0,25-0,1	0,1- 0,05	0,05-0,01	0,01-0,002	<0,002
6.10	5.20	12.20	20.70	24.50	13.60	3.90	13.80	0.00	0.00	0.00
